keyword,weight
subscribed alerts,0.6418
notification email,0.6345
notification time,0.6268
email notification,0.6198
alerts appliance_type,0.5919
subscribed alerts,0.6418
notification email,0.6345
notification time,0.6268
email notification,0.6198
alerts appliance_type,0.5919
subscribed alerts,0.6418
notification email,0.6345
notification time,0.6268
email notification,0.6198
alerts appliance_type,0.5919
subscribed alerts,0.6418
notification email,0.6345
notification time,0.6268
email notification,0.6198
alerts appliance_type,0.5919
