keyword,weight
search team,0.5881
search page,0.5409
able search,0.4835
basic search,0.4636
team id,0.4135
advanced search,0.6596
options filters,0.5936
search page,0.4402
select options,0.4072
filters following,0.3289
home status,0.5655
warning risk,0.4308
possible states,0.4198
status possible,0.3816
risk critical,0.3201
support status,0.7627
status possible,0.4609
possible states,0.4125
warning risk,0.377
risk critical,0.3534
srs score,0.7336
possible states,0.4171
states excellent,0.3896
score possible,0.3445
excellent good,0.1897
